cycle,first(SEIR_maths).S,first(SEIR_maths).ES,first(SEIR_maths).IS,first(SEIR_maths).RS,first(SEIR_maths).ER,first(SEIR_maths).IR,first(SEIR_maths).RR
0,100.0,0.0,2.0,0.0,0.0,1.0,0.0
1,94.75203795377834,2.5612483154932395,0.68447532817516,1.8198530580806564,2.149390750875351,0.6241189171883154,1.2182702932930465
2,92.08147924793751,2.3756545674484384,0.47652301445873196,3.494498405433669,2.6472280697189743,0.6663596375016273,2.897899189500366
3,89.6205075444066,2.073342208602591,0.4304475790786465,4.759868227154957,3.047117623618035,0.783939995633022,4.71939475373684
4,86.96649726986033,1.8914633930963545,0.4202918457396388,5.719632336919417,3.5495498720122765,0.9395317210743607,6.694356449714355
5,83.98005373309863,1.806310540443809,0.42407713116102635,6.46747648282107,4.188936451959465,1.132889951249362,8.871491343129472
6,80.58105377845477,1.7795571709116196,0.4345969733729698,7.058459367077048,4.978312496093597,1.3679521496658602,11.29568416539068
7,76.7241003276477,1.7819135994523032,0.4476229877106945,7.518480220886767,5.925384641852592,1.6484998162582585,13.999032203559217
8,72.39832152768295,1.7920995777898314,0.459994016593718,7.8544450528721335,7.032288817742892,1.9771047402789015,16.99527317086538
9,67.63091709379998,1.7945905353916125,0.46915902818426375,8.062273859829112,8.293133460176762,2.3543358036329334,20.27457740008947
10,62.48976835832487,1.7783775902690706,0.47306372104350186,8.133502707031763,9.691535133232897,2.777966418103243,23.799522216454164
11,57.082354355419746,1.7365293649477056,0.47018649042036537,8.060973755460433,11.199069531232656,3.242314404751142,27.503843133370527
12,51.54902405902361,1.6661107162424216,0.45964164567853866,7.843511025443944,12.775420850372393,3.7379289909392592,31.295480164261214
13,46.05010119124767,1.5680442944345636,0.44127765411347136,7.489063808011697,14.370746295756563,4.251829917643248,35.06461235741814
14,40.748317047388234,1.4466202325804178,0.41570484028740373,7.015736368924075,15.930213042625331,4.768404219717143,38.69591480285367
15,35.78996942814641,1.3085582781385554,0.3842107110597801,6.450466589862749,17.39995253526042,5.270889712813339,42.08269067119897
16,31.289049870686522,1.161750441992452,0.348561494812434,5.825731579334761,18.733123501159454,5.743179992382468,45.1395997096471
17,27.31781714178397,1.013965797789602,0.31073102434628025,5.175236714501928,19.894678528881013,6.171561668676599,47.81099840745636
18,23.905219512691126,0.8718135864075764,0.27262333184568527,4.529776220139558,20.86386288138024,6.546006023586232,50.07336131315703
19,21.04218811459561,0.740146411830587,0.23585230345240762,3.914230208792901,21.63422162695729,6.860782149769683,51.932155044768564
20,18.691198048114487,0.6219205959510026,0.20161527403655008,3.3461376195597468,22.211592431662748,7.1143669111627865,53.41499693598452
21,16.797109273039496,0.5184022842375884,0.17066352177937436,2.835738995830332,22.610945755067753,7.308806645530815,54.56343774861217
22,15.296939458948561,0.4295577463292271,0.1433469771399592,2.3870375707226934,22.852947870913248,7.448775963784539,55.425331383779465
23,14.127300348403704,0.3544845555731402,0.11970016922551853,1.9993403203070415,22.96088755010226,7.540574219219663,56.04893130475814
24,13.229215039429478,0.2917915444181361,0.09953941119456126,1.668840331880554,22.958297659657834,7.591233988826511,56.47903820630958
25,12.550662390221978,0.23988748050658168,0.08255097129434877,1.3899744462943973,22.867343543711495,7.607831824891862,56.754972412775935
26,12.047453816235164,0.19717502817779725,0.0683604428294144,1.1564494014020021,22.707889587452026,7.597020863295583,56.909898513957025
27,11.683051428525198,0.162165461466989,0.05658137940678338,0.9619374623679802,22.497086866891987,7.564760272231494,56.97100709028349
28,11.427815831885757,0.13353539626590885,0.04684572545599131,0.8004970654643735,22.249318205945972,7.5161967382487225,56.960150531669704
29,11.258021095344876,0.11014534470510866,0.03882030029779223,0.6667901801174128,21.976361884873672,7.4556507014039095,56.89465411371044
30,11.154842471951877,0.09103557373587008,0.0322136425165499,0.5561629118354602,21.68767022812332,7.386666791463666,56.788134472201556
31,11.103425697703532,0.0754100964809235,0.02677678792245829,0.46464206224682025,21.390692561099286,7.312097880916097,56.651239305839745
32,11.092083950315976,0.06261573751044178,0.02230061397236641,0.3888853692615852,21.09119874887506,7.234201872865464,56.49227466125718
33,11.11163202255171,0.05212036603697637,0.01861152699868712,0.3261103588512251,20.793578878171765,7.154738250789923,56.317716037650975
34,11.154848470525186,0.04349248170205207,0.01556660083950094,0.27401711746055923,20.501107587242842,7.075057189533448,56.132614220259434
35,11.216048561969023,0.03638314477886522,0.01304880312899202,0.23071363648282608,20.21616960249377,6.9961778979758,55.94091228055366
36,11.290748974458133,0.03051054661466657,0.0109626349644895,0.19464806611267435,19.940447661164196,6.918855265501808,55.74569078239989
37,11.375406343242865,0.02564714178971474,0.00923031826620763,0.1645495834526659,19.675076358738263,6.843635249353756,55.54935653314937
38,11.467214160816678,0.02160908575013805,0.00778855495228871,0.13937807608831887,19.420766415171162,6.770900123284916,55.3537877055109
39,11.563945232394643,0.01824765751717875,0.00658582399965802,0.11828205697744373,19.177903992264874,6.700904971093353,55.160445593061446
40,11.66382943136181,0.01544234419298673,0.0055801561450669,0.10056387620953329,18.946629396701844,6.633806830484627,54.97046098700844
41,11.765458690568085,0.01309529095952223,0.00473731792050959,0.08565119464115499,18.72689900520076,6.569687788759154,54.78470128258759
42,11.867712966999125,0.01112685911240797,0.00402933842979341,0.07307371745843744,18.51853368846355,6.508573172686837,54.603822936431506
43,11.969702354409206,0.0094720756664445,0.00343331865179763,0.06244428247776492,18.32125646496989,6.4504458013800825,54.42831275085706
44,12.070721642807035,0.00807779639612817,0.00293047116910675,0.05344351825704938,18.13472162159678,6.395257104782519,54.25852059385382
45,12.170214492372386,0.00690043780323407,0.00250534648298697,0.04580740900166453,17.958537110067105,6.342935761797159,54.09468551399054
46,12.267745055273288,0.00590416191223507,0.0021452097050753,0.03931721594823716,17.79228166820865,6.293394384655306,53.93695672578168
47,12.362975386898718,0.00505942121734853,0.00183953809090282,0.03379130386645424,17.635517818240167,6.246534669825569,53.78541058179189
48,12.455647374716364,0.00434179010799743,0.00157961552933134,0.02907850548459165,17.487801653231223,6.20225134875075,53.6400643808343
49,12.545568207095645,0.00373102434943058,0.00135820478045349,0.02505272674949109,17.34869012914942,6.160435201435755,53.500887662836334
50,12.632598628293154,0.00321030234398917,0.00116928207321364,0.0216085534058621,17.217746425463453,6.120975339722688,53.36781149231128
51,12.716643396431625,0.0027656115302101,0.00100782176019489,0.01865766620752996,17.094543814886737,6.083760922479663,53.24073612064413
52,12.79764349166001,0.00238525089032607,0.00086962120449829,0.01612590990971685,16.978668386311814,6.048682429697686,53.119537332883006
53,12.875569721541552,0.00205942654486813,0.00075115805365923,0.0139508916285198,16.869720889102478,6.015632594769295,53.004071720350055
54,12.950417447452777,0.00177992215151581,0.00064947363360544,0.01208000857001287,16.767317907417677,5.984507072471986,52.89418107098592
55,13.022202214941599,0.00153982956297954,0.00056207745143596,0.01046882468658146,16.671092526690373,5.955204903145505,52.78969603114673
56,13.09095611677227,0.00133332814911742,0.0004868687945201,0.00907973146926881,16.580694618014842,5.927628820229478,52.69043916281617
57,13.15672475293542,0.00115550352028544,0.00042207220779633,0.00788084061165039,16.495790837814305,5.901685437916541,52.59622749683906
58,13.219564679610164,0.00100219823466181,0.00036618426343197,0.00684506631232279,16.416064418032263,5.877285347543985,52.5068746643186
59,13.27954126074158,0.00086988853594392,0.00031792954081653,0.005949363024306,16.341214804851894,5.854343144996406,52.42219267362114
60,13.33672685291609,0.00075558233083177,0.00027622413688516,0.00517409091376309,16.27095719052749,5.832777406433339,52.34199338865565
61,13.391199267628872,0.00065673454184714,0.00024014534810808,0.00450248647869691,16.205021972471435,5.812510625783807,52.26608975460242
62,13.44304046564392,0.00057117671022655,0.00020890642281445,0.00392021995621383,16.14315416562556,5.793469124426374,52.19429680956828
63,13.492335446565846,0.0004970583150026,0.00018183548901153,0.0034150245176371,16.08511278784419,5.775582941112359,52.126432514373455
64,13.5391713034477,0.00043279774865506,0.00015835792891024,0.00297638497560636,16.03067023312925,5.7587857083465215,52.062318427535345
65,13.5836364176193,0.00037704127099687,0.00013798160519346,0.00259527593463475,15.979611643773522,5.743014520000532,52.001780248285996
66,13.625819773220547,0.00032862857024936,0.00012028445216153,0.00226394110851716,15.931734289543625,5.728209793811715,51.94464824696294
67,13.665810374386995,0.00028656380852952,0.00010490403240822,0.00197570698582955,15.886846959780053,5.7143151315439615,51.890757599210545
68,13.703696750833409,0.0002499912300526,0.00009152873070147,0.0017248252134164,15.844769372559197,5.701277178905535,51.83994863800851
69,13.739566539852342,0.00021817457361564,0.00007989031451189,0.00150633903906975,15.805331603736692,5.689045486787822,51.79206703551881
70,13.77350613459546,0.00019047966380644,0.00006975763772905,0.00131596995005211,15.768373537682027,5.677572374976756,51.746963925040276
71,13.805600390019976,0.00016635966379503,0.0000609313025924,0.00115002129697301,15.73374434075078,5.666812799169257,51.7044959719242
72,13.83593237912822,0.00014534256122436,0.00005323912638584,0.00100529622952336,15.701301957968141,5.656724221880105,51.66452540108852
73,13.864583193157793,0.00012702053139469,0.00004653228532162,0.00087902771321661,15.670912632972216,5.647266487634628,51.62691998773535
74,13.891631780235024,0.00011104088164902,0.00004068202932912,0.00076881876193523,15.642450450954692,5.638401702696839,51.591553016994546
75,13.917154817719357,0.00009709833004024,0.00003557687901866,0.00067259132376197,15.615796904113262,5.630094119471723,51.55830321746158
76,13.94122661406701,0.00008492841194387,0.00003112023059721,0.0005885425086495,15.590840478974547,5.622310025636276,51.52705467294879
77,13.96391903655078,0.00007430184184847,0.00002722830652539,0.00051510705517131,15.567476264841561,5.615017637991,51.49769671620966
78,13.985301461605697,0.00006501968537983,0.00002382839967469,0.00045092510740252,15.545605582554531,5.6081870009769155,51.470123807911165
79,14.005440744941472,0.00005690921972756,0.00002085736703329,0.0003948145180155,15.525135632717348,5.601789889769114,51.444235403708575
80,14.024401208883079,0.00004982037987983,0.00001826033591642,0.00034574701493585,15.50597916252756,5.5957997178337235,51.4199358119098
81,14.042244644679199,0.00004362270411671,0.00001598959140413,0.00030282767047783,15.488054150349052,5.590191448818309,51.397134043896614
82,14.059030327761914,0.00003820270562044,0.00001400361855323,0.00026527719711606,15.471283507179523,5.584941512634777,51.37574365918816
83,14.074815044155336,0.00003346160828697,0.00001226627697278,0.00023241666570857,15.455594794185702,5.580027725587139,51.35568260678594
84,14.089653126420837,0.00002931339424022,0.00001074608874729,0.00020365430233353,15.440919955505642,5.5754292143930515,51.336873064221166
85,14.103596497695445,0.0000256831184642,0.00000941562354645,0.00017847407081018,15.427195065547203,5.571126343947105,51.31924127553385
86,14.116694722531408,0.00002250545263071,0.00000825096716632,0.00015642579099223,15.414360090043733,5.567100648674637,51.30271738924268
87,14.128995063380568,0.00001972342581943,0.00000723126177708,0.00013711657932986,15.402358660160575,5.563334767326921,51.28723529721488
88,14.140542541690017,0.00001728733457364,0.00000633830786953,0.00012020342906008,15.391137858979006,5.559812381071677,51.2727324752113
89,14.15138000268616,0.00001515379875143,0.0000055562193457,0.00010538677358796,15.380648019716514,5.556518154736484,51.25914982576457
90,14.161548183024966,0.00001328494303664,0.0000048711244326,0.00009240489890036,15.370842535073924,5.553437681066747,51.246431523942675
91,14.171085780577462,0.00001164768686308,0.00000427090614468,0.00008102908982449,15.361677677130393,5.55055742786429,51.23452486645796
92,14.180029525702588,0.00001021312796237,0.00000374497691233,0.00007105941111917,15.353112427236416,5.5478646878770235,51.223380124498554
93,14.188414253435223,0.00000895600683724,0.00000328408275217,0.00006232103819825,15.345108315382953,5.545347531314768,51.21295040058692
94,14.196272976085856,0.0000078542412452,0.00000288013300271,0.0000546610640938,15.337629268551213,5.542994760870782,51.203191489705425
95,14.203636955811248,0.00000688852130013,0.00000252605220221,0.00004794571937492,15.330641467572848,5.540795869133031,51.194061744871966
96,14.210535776772204,0.00000604195710065,0.00000221565115857,0.00004205795040171,15.324113212054051,5.538740998273615,51.18552194729882
97,14.2169974165465,0.00000529977190858,0.00000194351466641,0.00003689530872826,15.318014792939653,5.536820901909074,51.17753518122365
98,14.22304831651194,0.0000046490348553,0.000001704903674,0.00003236811085501,15.31231837231451,5.535026909028423,51.17006671346367
99,14.228713450957025,0.00000407842797358,0.00000149567000115,0.00002839783302383,15.306997870059785,5.533350889889875,51.16308387770995
100,14.234016394715242,0.00000357804305607,0.0000013121819653,0.00002491571047731,15.302028857000733,5.531785223791091,51.15655596355016
