cycle,first(SEIR_maths).S,first(SEIR_maths).ES,first(SEIR_maths).IS,first(SEIR_maths).RS,first(SEIR_maths).ER,first(SEIR_maths).IR,first(SEIR_maths).RR
0,100.0,0.0,1.0,0.0,0.0,1.0,0.0
1,96.26815472894546,1.4070845428632983,0.4017921195267357,0.867397635222808,2.1154430052936815,0.7171373258698495,0.8562939666524566
2,93.86638488577807,1.3463977302074224,0.271186934694458,1.8237890150825282,2.8222439194349973,0.8108342295925619,2.3407405986439933
3,91.39123991622749,1.1258759489421002,0.21382118991169713,2.57911825155921,3.4550538218012923,1.002041283932807,4.079540230345224
4,88.52073724006067,0.9168872847908888,0.17315050245171842,3.1191870978571874,4.236510965557823,1.2572331667715624,6.069948473595527
5,85.09187446033238,0.73709896944504,0.14001935274086943,3.4622698127334983,5.222023350400976,1.5803353613725624,8.359502840887966
6,80.98363595134056,0.584416933239281,0.11220679331911936,3.627287900061974,6.436300252741006,1.9803348427478114,10.988646407209913
7,76.11839782319561,0.45531572891744365,0.08871569788104042,3.63214401412254,7.887298867067273,2.4646294431636506,13.970538469404604
8,70.48461161614296,0.347064096836323,0.06891916637675016,3.496296587786142,9.560394834012602,3.035622248544306,17.27533176355008
9,64.1611714540514,0.2576942850181455,0.05238731089267103,3.243380359213867,11.410277299489756,3.687485537101281,20.817962418750735
10,57.33103258455457,0.185641463165687,0.03880788511916997,2.902555704775737,13.356578586846913,4.4033934942144315,24.45542000704746
11,50.272060606864684,0.12936352409880103,0.0279203856506329,2.50771361778493,15.287759477341858,5.154399820045848,27.9999415151344
12,43.319099398573556,0.08706414729431398,0.01946050451501946,2.094299750232002,17.075492575379776,5.901192448500299,31.249657001886405
13,36.80412035856721,0.05660591216321544,0.01312573186260535,1.6945980947094774,18.59717266558026,6.599167617311031,34.02927141316941
14,30.994310221535546,0.03562766582441106,0.00857042396673144,1.3332410551305138,19.759361704487677,7.205823550310192,36.22593628489142
15,26.050963501442464,0.02178761624393064,0.00542769450883835,1.0247176328327308,20.5135698439553,7.688188763558095,37.806096376151864
16,22.0214862158584,0.01300705295481274,0.00334448117668061,0.7736096803826568,20.85934017415595,8.027809733059533,38.808597257564436
17,18.86036926359941,0.00761954961469072,0.00201313655042102,0.5769518945426653,20.83567817157422,8.22193699377394,39.32086476723883
18,16.464256827678327,0.0044018457626229,0.00118890949145985,0.4273948272358592,20.506238553687737,8.281206585065542,39.4505336381997
19,14.706051190376112,0.00251905150184538,0.00069190906706774,0.3160032488809413,19.944250549961552,8.22528350731148,39.30263136733216
20,13.45953762072094,0.00143336596114397,0.00039840952798837,0.23413142890077596,19.220978780387117,8.078147345299087,38.96639411852404
21,12.612981130487764,0.00081334858610783,0.00022778657396448,0.17436884296120592,18.398826541879274,7.864199232109627,38.51075351317044
22,12.07412681695978,0.00046127939102918,0.00012969618270173,0.13082003363671676,17.528421102824108,7.605670366378733,37.985374577964365
23,11.770012780810397,0.00026189109521073,0.00007371461079565,0.09901444848552152,16.648384155690238,7.32128237383276,37.42421696369742
24,11.644368098231105,0.00014901653233323,0.00004189838174207,0.07566449170420277,15.786570649793722,7.025852561445125,36.84960107523465
25,11.654327264574622,0.0000850409029038,0.00002384748552833,0.05839741708624869,14.961906103750971,6.730490902697537,36.27577310324978
26,11.76733415741589,0.00004869675292434,0.00001360515414424,0.04551824500036301,14.186302632012172,6.4430976646463725,35.711642745891325
27,11.958568175217057,0.00002798720682222,0.00000778497945684,0.03582120508474392,13.466392184120583,6.168962986282818,35.16271816219758
28,12.208943832058198,0.00001614546604426,0.00000446968343309,0.02844836784495847,12.804976142188895,5.911352145372516,34.63239559222311
29,12.503615532891946,0.00000934914719481,0.00000257545659622,0.02278727221135045,12.202178058090087,5.672019649995586,34.12278058802184
30,12.83088486613641,0.0000054336542785,0.00000148944619219,0.01839828106781612,11.656327691637632,5.451632456089341,33.63519121241725
31,13.181411467302638,0.00000316926592458,0.00000086453447367,0.01496359799134849,11.164619662147029,5.250103098870364,33.170455730068554
32,13.547645567367411,0.00000185484488087,0.00000050360760777,0.01225165926848876,10.72359171466203,5.06684315630488,32.72908291616061
33,13.923419366022358,0.00000108909855457,0.00000029437550986,0.01009227931924072,10.329463209240519,4.900950747113858,32.311356495496135
