cycle,first(SEIR_maths).S,first(SEIR_maths).ES,first(SEIR_maths).IS,first(SEIR_maths).RS,first(SEIR_maths).ER,first(SEIR_maths).IR,first(SEIR_maths).RR
0,100.0,0.0,2.0,0.0,0.0,1.0,0.0
1,94.2171110550815,2.455669327700401,0.806472306791921,2.05233499941463,2.187117740388351,0.7216247017397113,1.1552778608366303
2,90.9163200226551,2.158123083068531,0.5661083564908852,4.109783130294882,2.668808331928015,0.7640339197737263,3.0389426890086204
3,88.02796633942009,1.8129967372600189,0.499038797946665,5.584441110233447,2.960107749523453,0.8466513568882529,5.075285732861106
4,85.17683834417618,1.6332078997720885,0.4827211052426475,6.658191994355706,3.2549059754470018,0.9389145586109682,7.193660655812536
5,82.25031802441586,1.5716285417289715,0.4890403036369326,7.49748895913961,3.5798929436756644,1.0396048023963171,9.38631503009849
6,79.20194978104516,1.5792280430766001,0.5073053868291078,8.200877402068535,3.9396957215555126,1.1500580412432455,11.651344212572106
7,76.01483902223443,1.6245629929596905,0.5319231420751815,8.820411805948455,4.335102515839145,1.2712286306395735,13.9849661720312
8,72.69047800073703,1.6884590824736505,0.5595193126655315,9.380478862071264,4.765317080354613,1.4035101269372767,16.380182428492038
9,69.2435993964952,1.758945406409378,0.5878623897923886,9.889451105067755,5.228179421693004,1.5467892234511953,18.826362701914366
10,65.69913411755938,1.8281829172343722,0.6153441301063391,10.346645939924,5.720129192705079,1.7004754148851666,21.30914018087464
11,62.089952875664565,1.8907652858077624,0.6407160278691297,10.746602258177406,6.236170022358775,1.8635069541532947,23.810595662269424
12,58.45478917992145,1.9428294708626952,0.6629644033333539,11.081854553340191,6.769898206332146,2.0343539509024953,26.30975127385304
13,54.836079514749706,1.9816227093289838,0.681263099102834,11.344839750737343,7.313626009997587,2.211035222648422,28.78336531311793
14,51.27766603799147,2.0053125789002433,0.6949676350409811,11.529253236146072,7.858613925999404,2.39116000687469,31.20697997990285
15,47.82244512411019,2.0129099485176307,0.7036276640639868,11.630993048448104,8.3954100648462,2.5720003332361205,33.55613539905858
16,44.51012606830619,2.0042253970077186,0.7070022239966828,11.648742435006538,8.914277804669247,2.750594462775183,35.80763430573329
17,41.375292007004425,1.9798133243399332,0.7050675958430471,11.584209343571926,9.405677319082988,2.923876467296174,37.940729161904095
18,38.44593432037429,1.9408822723257932,0.6980119601003643,11.442045149714021,9.8607557272456,3.088822328148118,39.938111347099934
19,35.742573226746,1.8891680303743648,0.6862149518139897,11.229486533261014,10.27179689225542,3.2425996410352753,41.78660973391476
