cycle,first(SEIR_maths).S,first(SEIR_maths).S,first(SEIR_maths).ES,first(SEIR_maths).ES,first(SEIR_maths).IS,first(SEIR_maths).IS,first(SEIR_maths).RS,first(SEIR_maths).RS,first(SEIR_maths).ER,first(SEIR_maths).ER,first(SEIR_maths).IR,first(SEIR_maths).IR,first(SEIR_maths).RR,first(SEIR_maths).RR
29,123.3381024,246.6762048,3.15237E-12,6.30474E-11,7.897E-14,1.5794E-12,0.963906342,19.27812685,0.002017791,0.040355818,0.004632341,0.092646811,1.158823079,23.17646158
30,123.9526465,247.905293,1.25185E-12,2.5037E-11,3.136E-14,6.272E-13,0.945182533,18.90365065,0.00199103,0.039820604,0.00455054,0.091010808,1.13770065,22.75401299
31,124.555288,249.1105761,4.9715E-13,9.943E-12,1.245E-14,2.49E-13,0.926822695,18.53645389,0.001964413,0.039288268,0.004470177,0.089403541,1.116973394,22.33946789
32,125.1462579,250.2925159,1.9745E-13,3.949E-12,4.95E-15,9.9E-14,0.908819743,18.17639487,0.00193795,0.038758996,0.004391225,0.087824507,1.096633558,21.93267116
33,125.7257826,251.4515653,7.842E-14,1.5684E-12,1.96E-15,3.92E-14,0.891166732,17.82333464,0.001911648,0.038232965,0.004313661,0.086273214,1.07667355,21.53347101
34,126.2940842,252.5881683,3.115E-14,6.23E-13,7.8E-16,1.56E-14,0.87385685,17.477137,0.001885517,0.037710341,0.004237459,0.084749178,1.057085942,21.14171883
35,126.8513802,253.7027605,1.237E-14,2.474E-13,3.1E-16,6.2E-15,0.856883419,17.13766838,0.001859564,0.037191279,0.004162596,0.083251926,1.037863459,20.75726918
36,127.3978843,254.7957686,4.91E-15,9.82E-14,1.2E-16,2.4E-15,0.840239891,16.80479782,0.001833796,0.036675925,0.00408905,0.081780991,1.018998983,20.37997965
37,127.9338057,255.8676114,1.95E-15,3.9E-14,5E-17,1E-15,0.823919846,16.47839691,0.001808221,0.036164414,0.004016796,0.080335915,1.000485543,20.00971086
38,128.4593497,256.9186994,7.8E-16,1.56E-14,2E-17,4E-16,0.807916989,16.15833977,0.001782844,0.035656872,0.003945812,0.07891625,0.982316317,19.64632633
39,128.9747175,257.949435,3.1E-16,6.2E-15,1E-17,2E-16,0.792225147,15.84450295,0.001757671,0.035153414,0.003876078,0.077521551,0.964484622,19.28969245
40,129.4801065,258.960213,1.2E-16,2.4E-15,0,0,0.77683827,15.53676541,0.001732707,0.034654149,0.003807569,0.076151385,0.946983919,18.93967838
41,129.9757102,259.9514203,5E-17,1E-15,0,0,0.761750424,15.23500847,0.001707959,0.034159175,0.003740266,0.074805324,0.929807801,18.59615603
42,130.4617183,260.9234365,2E-17,4E-16,0,0,0.746955789,14.93911579,0.001683429,0.033668583,0.003674147,0.073482948,0.912949998,18.25899995
43,130.9383169,261.8766337,1E-17,2E-16,0,0,0.732448663,14.64897326,0.001659123,0.033182457,0.003609192,0.072183844,0.896404365,17.92808731
44,131.4056884,262.8113768,0,0,0,0,0.718223451,14.36446902,0.001635044,0.032700872,0.00354538,0.070907607,0.88016489,17.6032978
45,131.8640117,263.7280235,0,0,0,0,0.704274669,14.08549338,0.001611195,0.032223898,0.003482692,0.069653837,0.86422568,17.2845136
46,132.3134623,264.6269247,0,0,0,0,0.690596939,13.81193879,0.00158758,0.031751596,0.003421107,0.068422142,0.848580966,16.97161933
47,132.7542122,265.5084244,0,0,0,0,0.67718499,13.5436998,0.001564201,0.031284022,0.003360607,0.067212138,0.833225098,16.66450196
48,133.18643,266.3728599,0,0,0,0,0.664033651,13.28067302,0.001541061,0.030821227,0.003301172,0.066023445,0.818152539,16.36305078
49,133.610281,267.220562,0,0,0,0,0.651137853,13.02275707,0.001518163,0.030363254,0.003242785,0.064855691,0.803357868,16.06715735
50,134.0259276,268.0518552,0,0,0,0,0.638492626,12.76985253,0.001495507,0.029910141,0.003185426,0.063708511,0.788835772,15.77671545
51,134.4335286,268.8670573,0,0,0,0,0.626093097,12.52186194,0.001473096,0.029461923,0.003129077,0.062581544,0.77458105,15.491621
52,134.8332402,269.6664803,0,0,0,0,0.613934486,12.27868972,0.001450931,0.029018628,0.003073722,0.061474438,0.760588603,15.21177205
53,135.225215,270.45043,0,0,0,0,0.602012109,12.04024218,0.001429014,0.028580278,0.003019342,0.060386846,0.746853436,14.93706873
54,135.6096032,271.2192064,0,0,0,0,0.590321371,11.80642743,0.001407345,0.028146895,0.002965921,0.059318425,0.733370658,14.66741315
55,135.9865517,271.9731033,0,0,0,0,0.578857769,11.57715537,0.001385925,0.027718491,0.002913442,0.05826884,0.720135472,14.40270945
56,136.3562046,272.7124092,0,0,0,0,0.567616884,11.35233767,0.001364754,0.027295079,0.002861888,0.057237762,0.707143183,14.14286365
57,136.7187034,273.4374069,0,0,0,0,0.556594386,11.13188772,0.001343833,0.026876665,0.002811243,0.056224868,0.694389185,13.8877837
58,137.0741868,274.1483735,0,0,0,0,0.545786029,10.91572058,0.001323163,0.026463253,0.002761492,0.055229837,0.681868969,13.63737938
59,137.4227905,274.845581,0,0,0,0,0.535187649,10.70375298,0.001302742,0.026054844,0.002712618,0.054252358,0.669578114,13.39156228
60,137.7646479,275.5292959,0,0,0,0,0.524795163,10.49590327,0.001282572,0.025651432,0.002664606,0.053292123,0.657512287,13.15024574
61,138.0998898,276.1997796,0,0,0,0,0.514604569,10.29209138,0.001262651,0.025253014,0.002617442,0.05234883,0.645667244,12.91334487
62,138.4286443,276.8572886,0,0,0,0,0.50461194,10.0922388,0.001242979,0.024859578,0.002571109,0.051422182,0.634038822,12.68077644
63,138.751037,277.5020741,0,0,0,0,0.494813429,9.896268572,0.001223556,0.024471115,0.002525594,0.050511887,0.622622943,12.45245887
64,139.0671913,278.1343826,0,0,0,0,0.48520526,9.704105205,0.00120438,0.024087608,0.002480883,0.049617658,0.611415611,12.22831222
65,139.377228,278.7544559,0,0,0,0,0.475783735,9.515674697,0.001185452,0.023709041,0.002436961,0.048739213,0.600412906,12.00825813
66,139.6812655,279.362531,0,0,0,0,0.466545224,9.33090448,0.00116677,0.023335394,0.002393814,0.047876277,0.589610988,11.79221977
67,139.9794201,279.9588402,0,0,0,0,0.45748617,9.149723401,0.001148332,0.022966647,0.002351429,0.047028575,0.579006093,11.58012185
68,140.2718058,280.5436115,0,0,0,0,0.448603085,8.972061691,0.001130139,0.022602776,0.002309792,0.046195842,0.568594528,11.37189056
69,140.5585342,281.1170684,0,0,0,0,0.439892547,8.797850938,0.001112188,0.022243756,0.002268891,0.045377813,0.558372676,11.16745352
70,140.839715,281.67943,0,0,0,0,0.431351203,8.627024064,0.001094478,0.021889559,0.002228712,0.044574232,0.54833699,10.9667398
71,141.1154556,282.2309112,0,0,0,0,0.422975765,8.459515295,0.001077008,0.021540156,0.002189242,0.043784844,0.538483992,10.76967984
72,141.3858614,282.7717228,0,0,0,0,0.414763007,8.295260138,0.001059776,0.021195518,0.00215047,0.0430094,0.528810273,10.57620546
73,141.6510356,283.3020713,0,0,0,0,0.406709768,8.134195354,0.001042781,0.020855613,0.002112383,0.042247655,0.51931249,10.3862498
74,141.9110797,283.8221594,0,0,0,0,0.398812947,7.976258936,0.00102602,0.020520406,0.002074968,0.041499368,0.509987365,10.1997473
75,142.1660929,284.3321857,0,0,0,0,0.391069504,7.821390082,0.001009493,0.020189864,0.002038215,0.040764302,0.500831684,10.01663368
76,142.4161726,284.8323453,0,0,0,0,0.383476459,7.669529175,0.000993198,0.019863952,0.002002111,0.040042226,0.491842297,9.836845931
77,142.6614145,285.322829,0,0,0,0,0.376030888,7.520617757,0.000977132,0.019542632,0.001966646,0.03933291,0.483016112,9.660322237
78,142.9019122,285.8038243,0,0,0,0,0.368729925,7.374598507,0.000961293,0.019225866,0.001931807,0.038636131,0.4743501,9.487001998
79,143.1377575,286.2755149,0,0,0,0,0.361570761,7.23141522,0.000945681,0.018913616,0.001897583,0.037951667,0.465841289,9.316825784
80,143.3690405,286.738081,0,0,0,0,0.354550639,7.091012784,0.000930292,0.018605843,0.001863965,0.037279303,0.457486766,9.149735313
81,143.5958496,287.1916992,0,0,0,0,0.347666858,6.95333716,0.000915125,0.018302505,0.001830941,0.036618825,0.449283671,8.985673429
82,143.8182714,287.6365427,0,0,0,0,0.340916768,6.81833536,0.000900178,0.018003563,0.001798501,0.035970024,0.441229204,8.824584078
83,144.0363908,288.0727816,0,0,0,0,0.334297771,6.685955425,0.000885449,0.017708974,0.001766635,0.035332694,0.433320614,8.666412285
84,144.2502911,288.5005823,0,0,0,0,0.32780732,6.55614641,0.000870935,0.017418696,0.001735332,0.034706634,0.425555207,8.511104132
85,144.4600541,288.9201082,0,0,0,0,0.321442918,6.428858358,0.000856634,0.017132686,0.001704582,0.034091646,0.417930337,8.358606734
86,144.6657597,289.3315195,0,0,0,0,0.315202114,6.304042284,0.000842545,0.016850901,0.001674377,0.033487533,0.410443411,8.208868224
87,144.8674866,289.7349733,0,0,0,0,0.309082508,6.181650159,0.000828665,0.016573297,0.001644705,0.032894105,0.403091886,8.061837725
88,145.0653118,290.1306237,0,0,0,0,0.303081744,6.061634884,0.000814991,0.01629983,0.001615559,0.032311173,0.395873267,7.917465333
89,145.2593108,290.5186216,0,0,0,0,0.297197514,5.943950278,0.000801523,0.016030456,0.001586928,0.031738552,0.388785105,7.775702099
90,145.4495577,290.8991154,0,0,0,0,0.291427553,5.828551058,0.000788256,0.015765129,0.001558803,0.031176061,0.381825,7.636500006
91,145.636125,291.2722501,0,0,0,0,0.285769641,5.715392822,0.00077519,0.015503806,0.001531176,0.030623522,0.374990598,7.499811952
92,145.8190841,291.6381683,0,0,0,0,0.280221602,5.60443203,0.000762322,0.015246441,0.001504038,0.030080758,0.368279587,7.365591733
93,145.9985048,291.9970096,0,0,0,0,0.2747813,5.49562599,0.000749649,0.014992988,0.00147738,0.029547598,0.361689701,7.233794019
94,146.1744555,292.348911,0,0,0,0,0.269446642,5.38893284,0.00073717,0.014743403,0.001451194,0.029023871,0.355218717,7.104374345
95,146.3470034,292.6940068,0,0,0,0,0.264215577,5.284311531,0.000724882,0.01449764,0.001425471,0.028509413,0.348864454,6.977289086
96,146.5162144,293.0324288,0,0,0,0,0.259086091,5.181721814,0.000712783,0.014255652,0.001400203,0.028004059,0.342624772,6.852495444
97,146.682153,293.3643061,0,0,0,0,0.254056211,5.081124221,0.00070087,0.014017396,0.001375382,0.027507648,0.336497572,6.729951431
98,146.8448827,293.6897654,0,0,0,0,0.249124003,4.982480052,0.000689141,0.013782825,0.001351001,0.027020024,0.330480793,6.609615852
99,147.0044654,294.0089309,0,0,0,0,0.244287568,4.885751358,0.000677595,0.013551894,0.001327052,0.02654103,0.324572414,6.491448289
100,147.1609622,294.3219243,0,0,0,0,0.239545047,4.790900931,0.000666228,0.013324558,0.001303526,0.026070516,0.318770454,6.375409088
